FPDIV_KEY,energy_cd,FID,WUA_YEAR,LIFT_ENERG,CEDTotal,GHGTotal,EnergyPump,geometry
33986IRR43222,5,13349,2010,108755.5171,616643.781957,35780.56512589999,725036.7806666667,"c(-100.62305, 39.35225)"
34321IRR18222,5,13893,2010,216526.7248,1227706.529616,71237.29245919999,1443511.4986666667,"c(-100.60626, 39.38595)"
36577IRR53297,5,14153,2010,91259.35431,517440.5389377,30024.327567989996,608395.6954,"c(-100.58883, 39.48068)"
39623IRR160,1,14959,2010,149480.2969,883428.5546789999,51271.74183669999,226485.2983333333,"c(-100.61255, 39.43698)"
39864IRR52210,1,14960,2010,147887.2401,874013.588991,50725.323354299995,224071.5759090909,"c(-100.6219, 39.41927)"
4983IRR3530,1,14961,2010,92706.08398,547892.9563218,31798.186805139994,140463.7636060606,"c(-100.62313, 39.41049)"
4576IRR12958,5,15842,2010,126270.55099999999,715954.02417,41543.01127899999,841803.6733333333,"c(-100.506332, 39.386746)"
5212IRR16394,5,15849,2010,124833.5951,707806.4842170001,41070.2527879,832223.9673333335,"c(-100.691684, 39.418223)"
64135IRR65616,5,16808,2010,60478.528439999995,342913.25625479996,19897.435856759996,403190.1896,"c(-100.55608, 39.3844)"
68335IRR39366,5,17139,2010,91083.8454,516445.40341800003,29966.5851366,607225.636,"c(-100.57483, 39.39723)"
68336IRR41462,5,17140,2010,165651.0187,939241.276029,54499.185152299986,1104340.1246666666,"c(-100.56885, 39.39477)"
7417IRR49677,5,18018,2010,122977.6123,697283.0617409999,40459.634446699994,819850.7486666667,"c(-100.49202, 39.435555)"
7345IRR3724,1,18069,2010,90746.4872,536311.7393520001,31126.0451096,137494.67757575758,"c(-100.61227, 39.42999)"
7437IRR3504,1,18070,2010,102607.5947,606410.884677,35194.4049821,155466.05257575758,"c(-100.59763, 39.44072)"
7883IRR2377,1,18071,2010,160766.4806,950129.9003460001,55142.902845799996,243585.57666666666,"c(-100.61176, 39.41901)"
7941IRR19124,1,18072,2010,149706.8412,884767.431492,51349.44653159999,226828.54727272724,"c(-100.58727, 39.44219)"
8443IRR74305,1,18073,2010,188443.2013,1113699.319683,64636.01804589999,285520.00196969695,"c(-100.59509, 39.42277)"
9063IRR53552,1,18074,2010,136367.2113,805930.218783,46773.953475899994,206616.9868181818,"c(-100.57815, 39.44214)"
8277IRR31930,5,18186,2010,74232.88687999999,420900.4686095999,24422.619783519993,494885.9125333333,"c(-100.57867, 39.36269)"
7789IRR30042,5,18434,2010,111920.1592,634587.302664,36821.73237679999,746134.3946666666,"c(-100.61691, 39.36068)"
8925IRR3595,5,18473,2010,133616.8652,757607.625684,43959.9486508,890779.1013333334,"c(-100.6334, 39.38615)"
9090IRR5989,5,18615,2010,75270.23602000001,426782.23823340004,24763.90765058,501801.57346666674,"c(-100.5686, 39.46827)"
9698IRR26692,5,18617,2010,154110.8281,873808.3953270001,50702.4624449,1027405.5206666668,"c(-100.56657, 39.44117)"
9968IRR6097,5,18618,2010,219216.3914,1242956.939238,72122.19277059998,1461442.6093333333,"c(-100.56178, 39.44376)"
8381IRR30863,5,18707,2010,182896.6455,1037023.9799850001,60172.9963695,1219310.9700000002,"c(-100.67328, 39.40588)"
8692IRR36799,5,18708,2010,141502.359,802318.37553,46554.27611099999,943349.06,"c(-100.69715, 39.4156)"
9547IRR6990,5,18931,2010,157448.6585,892733.893695,51800.60864649999,1049657.7233333334,"c(-100.44755, 39.43715)"
11154IRR25476,5,813,2011,137419.9083,780545.0791440001,45348.569739000006,916132.7220000001,"c(-100.622025, 39.363014)"
11156IRR26789,5,814,2011,78957.89382,448480.8368976,26056.1049606,526385.9588,"c(-100.64524, 39.3686)"
10199IRR32874,1,866,2011,80591.28207,470653.0872888,28609.90513485,122108.00313636364,"c(-100.55486, 39.47612)"
11145IRR10503,1,867,2011,234720.6709,1370768.7180559998,83325.8381695,355637.3801515151,"c(-100.62636, 39.42664)"
11468IRR50055,1,868,2011,107339.7809,626864.3204559999,38105.6222195,162636.03166666665,"c(-100.54782, 39.43371)"
11469IRR1077,1,869,2011,151109.2582,882478.067888,53643.786661,228953.4215151515,"c(-100.56174, 39.43719)"
10722IRR12627,5,1413,2011,96767.41737000001,549638.9306616001,31933.247732100004,645116.1158000001,"c(-100.54323, 39.41359)"
10785IRR8142,5,1414,2011,105571.0792,599643.7298559999,34838.456136,703807.1946666667,"c(-100.64204, 39.40524)"
10842IRR13111,5,1415,2011,143310.3962,814003.0504159998,47292.430746,955402.6413333333,"c(-100.58654, 39.39754)"
11262IRR18890,5,1416,2011,102532.1741,582382.748888,33835.617453000006,683547.8273333334,"c(-100.56388, 39.38213)"
11477IRR30601,5,1644,2011,136981.0243,778052.218024,45203.738019,913206.8286666666,"c(-100.76982, 39.33603)"
14101IRR20490,5,2084,2011,90002.71919,511215.4449992,29700.897332700002,600018.1279333334,"c(-100.46542, 39.42991)"
15371IRR7640,5,2086,2011,167841.5115,953339.7853199999,55387.698795000004,1118943.41,"c(-100.468852, 39.398376)"
13828IRR30217,5,2335,2011,177255.4428,1006810.9151039999,58494.296124,1181702.952,"c(-100.63232, 39.37058)"
15498IRR9766,1,2379,2011,23873.39513,139420.6275592,8475.05527115,36171.810803030305,"c(-100.54512, 39.43004)"
15525IRR34746,1,2380,2011,122038.5884,712705.356256,43323.698882,184906.9521212121,"c(-100.593399, 39.434685)"
