masterid,year,PDIV_ID,crop,volume_m3,area_m2,depth_m,system
sheridan,1996,37968,25,183221.1192,987433.84,0.185553245901639,4
sheridan,1996,38070,25,171268.698,1011715,0.16928592,4
null_geo9,1996,38071,2,162116.2764,647497.6,0.25037415,3
null_geo9,1996,38474,2,147277.512,477529.48,0.30841627118644,3
null_geo9,1996,38632,2,199305.6984,485623.2,0.4104132,3
null_geo9,1996,3870,2,143848.4376,404686,0.35545776,3
sheridan,1996,39093,2,146747.1156,550372.96,0.266632764705882,4
sheridan,1996,39366,2,92412.3216,485623.2,0.1902968,4
sheridan,1996,39475,,,,,
null_geo9,1996,39526,2,278322.4272,991480.7,0.280714579591837,3
sheridan,1996,39547,2,203474.8608,485623.2,0.418998400000001,4
null_geo9,1996,39892,5,79941.8388,485623.2,0.1646174,3
null_geo9,1996,3998,2,166766.496,424920.3,0.392466285714286,3
sheridan,1996,4011,16,154259.0088,364217.4,0.423536533333335,4
sheridan,1996,40161,2,164977.95,728434.8,0.226483333333333,3
sheridan,1996,4022,2,274251.9432,667731.9,0.410722618181818,6
null_geo9,1996,40358,44,441536.5008,1396166.7,0.316249878260868,1
null_geo9,1996,40372,2,106424.6544,493716.92,0.215558557377049,3
sheridan,1996,40395,25,191584.1136,534185.52,0.358648000000001,1
sheridan,1996,40527,2,155665.176,433014.02,0.35949308411215,4
null_geo9,1996,40566,2,110717.1648,578700.98,0.191320615384615,3
null_geo9,1996,40837,2,128010.5544,485623.2,0.2636012,3
sheridan,1996,41079,24,138433.4604,501810.64,0.275868580645161,3
sheridan,1996,41462,2,90142.7184,485623.2,0.1856232,3
sheridan,1996,41747,6,133548.8796,538232.38,0.248125533834587,3
sheridan,1996,4201,2,169887.2004,566560.4,0.299857885714286,4
null_geo9,1996,42183,2,155245.7928,477529.48,0.325102779661018,3
sheridan,1996,42224,24,119104.8288,493716.92,0.241241704918033,3
null_geo9,1996,4238,2,173747.9928,485623.2,0.357784399999999,3
null_geo9,1996,42499,2,176881.032,424920.3,0.416269714285716,3
null_geo9,1996,42518,2,542.7312,32374.88,0.016764,1
sheridan,1996,42532,2,178040.5032,501810.64,0.354797032258066,3
null_geo9,1996,42672,2,162979.7124,493716.92,0.330108393442624,3
null_geo9,1996,4268,25,284341.8096,979340.12,0.290340892561983,3
null_geo9,1996,42690,2,231413.1828,987433.84,0.234358721311475,3
sheridan,1996,42956,-99,0,0,0,-99
null_geo9,1996,43124,,,,,
sheridan,1996,43222,2,156281.916,497763.78,0.313968780487805,3
null_geo9,1996,43474,,,,,
sheridan,1996,43477,2,121152.4056,485623.2,0.2494788,4
sheridan,1996,44021,2,271871.3268,546326.1,0.497636800000001,3
sheridan,1996,44094,2,116058.1332,412779.72,0.281163058823529,1
null_geo9,1996,44330,2,407800.8228,979340.12,0.416404661157025,3
sheridan,1996,44564,2,51386.7768,566560.4,0.0906997714285716,3
null_geo9,1996,44607,24,299809.6488,951012.1,0.315253991489363,4
null_geo9,1996,44830,26,289584.0996,598935.28,0.483499297297296,4
